2020-40-25 19:40:46 [main] INFO  SeleniumDemoTest:32 - Driver initialization
2020-40-25 19:40:54 [main] INFO  SeleniumDemoTest:35 - Driver was initialized
2020-40-25 19:40:54 [main] INFO  SeleniumDemoTest:24 - Configuring driver
2020-40-25 19:40:54 [main] INFO  SeleniumDemoTest:28 - Driver was configured with implicit timeout 15 seconds
2020-40-25 19:40:54 [main] INFO  TestDemo:10 - 
2020-40-25 19:40:54 [main] INFO  TestService:57 - Closing threads within webDriverThreadPool
2020-43-25 19:43:14 [main] INFO  TestService:46 - Requesting driver
2020-43-25 19:43:14 [main] INFO  WebDriverThread:64 - Specifying driver (default is 'FIREFOX')
2020-43-25 19:43:14 [main] INFO  WebDriverThread:67 - Desired driver is 'CHROME'
2020-43-25 19:43:14 [main] INFO  WebDriverThread:87 - Current Browser Selection: CHROME
2020-43-25 19:43:14 [main] INFO  WebDriverThread:88 - Current Operating System: WINDOWS 10
2020-43-25 19:43:14 [main] INFO  WebDriverThread:89 - Current Architecture: amd64
2020-43-25 19:43:14 [main] INFO  WebDriverThread:90 - Remote execution: false
2020-43-25 19:43:15 [main] INFO  WebDriverManager:615 - Using chromedriver 80.0.3987.106 (since Google Chrome 80 is installed in your machine)
2020-43-25 19:43:15 [main] INFO  WebDriverManager:1113 - Exporting webdriver.chrome.driver as C:\Users\QaLight\.m2\repository\webdriver\chromedriver\win32\80.0.3987.106\chromedriver.exe
2020-43-25 19:43:19 [main] INFO  WebDriverThread:44 - Driver has been obtained
2020-43-25 19:43:31 [main] INFO  TestService:46 - Requesting driver
2020-43-25 19:43:31 [main] INFO  WebDriverThread:44 - Driver has been obtained
2020-43-25 19:43:31 [main] INFO  TestService:57 - Closing threads within webDriverThreadPool
2020-43-25 19:43:33 [main] INFO  WebDriverThread:52 - Driver has been closed
2020-43-25 19:43:33 [main] INFO  TestService:60 - Thread closed
2020-47-25 19:47:06 [main] INFO  TestService:46 - Requesting driver
